User,nike,adidas,vans,converse,newbalance,fila,dr_martens,MLB,lacoste,goose,hoka,asics,skechers
1,240,235,240,240,240,,,,240,,,,
2,275,,,275,275,,,,,,,,
3,265,,,265,,,260,,,,,,
4,225,220,200,210,230,230,,,,,,,
5,245,240,240,245,240,,245,,,,,,
6,280,275,275,275,,,,280,,,,,
7,230,,225,235,225,,,,,,,,
8,265,270,270,265,265,,270,,,,265,,
9,250,245,250,,250,,,,,,,,
10,,270,280,,,280,,,,,,,
11,,265,265,265,,,,,,,,,
12,255,255,260,260,,,,,,,,,
13,245,250,245,,,,250,,,,,,
14,275,,,275,275,,,,,,,,
15,,240,240,235,,,,,,,,235,
16,270,,270,270,,,270,,,,,,
17,235,235,240,235,235,,,,,,,,
18,220,230,230,230,220,220,230,,,,,,
19,260,,,,265,,,,,,,265,
20,230,235,240,230,,,,,,,,,
21,230,230,230,230,,,,,,,,,
22,250,245,245,245,245,,,,,38,,,
23,250,245,245,250,245,,,250,,,,,
24,240,,,240,,240,,250,240,,,,
25,240,240,,,235,240,235,240,240,,,,
26,230,225,225,,230,230,,,,,,,
27,230,230,225,230,,,,,,230,,,
28,225,230,220,230,230,220,,,,,,,
29,300,300,,300,290,,,,,,,,
30,245,245,250,250,245,250,,,,,,245,
31,240,,,240,240,,,,,,,,
32,250,245,245,250,,245,245,,250,250,,,
33,265,265,270,275,,,270,,,,,,
34,265,260,270,,270,,,,,,,260,
35,280,280,,280,280,275,275,275,275,,280,,
36,270,270,,,270,270,,,270,,,,
37,270,,,270,,,270,,,,,,
38,270,,,,,,,,,,,,
39,235,,240,,,,,,,,,,
40,250,,,,,,,,,,,,
41,270,,,,,,,,,,,,
42,275,270,,,,,,,,,,,
43,,250,,,,,,260,,,,,
44,250,,,,,250,,,,,,,
